,dataset,run_1,run_2,run_3,mean_accuracy
0,Adiac,0.7442455242966752,0.7723785166240409,0.7698209718670077,0.7621483375959079
1,ArrowHead,0.8228571428571428,0.8,0.8,0.8076190476190476
2,Beef,0.7,0.7333333333333333,0.6666666666666666,0.6999999999999998
3,BeetleFly,0.75,0.8,0.85,0.7999999999999999
4,BirdChicken,0.9,0.95,0.9,0.9166666666666666
5,CBF,1.0,1.0,1.0,1.0
6,Car,0.8666666666666667,0.8666666666666667,0.9,0.8777777777777778
7,ChlorineConcentration,0.4080729166666667,0.44453125,0.390625,0.4144097222222222
8,CinCECGTorso,0.6971014492753623,0.7239130434782609,0.7094202898550724,0.7101449275362319
9,Coffee,1.0,1.0,1.0,1.0
10,Computers,0.692,0.708,0.7,0.6999999999999998
11,CricketX,0.6897435897435897,0.7410256410256411,0.7,0.7102564102564103
12,CricketY,0.7282051282051282,0.7205128205128205,0.7102564102564103,0.7196581196581197
13,CricketZ,0.717948717948718,0.7307692307692307,0.7461538461538462,0.7316239316239317
14,DiatomSizeReduction,0.9673202614379084,0.9640522875816994,0.9477124183006536,0.9596949891067537
15,DistalPhalanxOutlineAgeGroup,0.7122302158273381,0.7194244604316546,0.697841726618705,0.709832134292566
16,DistalPhalanxOutlineCorrect,0.7608695652173914,0.7463768115942029,0.7355072463768116,0.7475845410628019
17,DistalPhalanxTW,0.5971223021582733,0.5827338129496403,0.5827338129496403,0.5875299760191847
18,ECG200,0.89,0.9,0.9,0.8966666666666666
19,ECG5000,0.9266666666666666,0.928,0.9257777777777778,0.9268148148148149
20,ECGFiveDays,0.9384436701509872,0.957026713124274,0.951219512195122,0.9488966318234611
21,Earthquakes,0.6115107913669064,0.6258992805755396,0.6330935251798561,0.6235011990407674
22,FaceAll,0.7757396449704143,0.7869822485207101,0.7727810650887574,0.778500986193294
23,FaceFour,0.8977272727272727,0.9204545454545454,0.9090909090909092,0.9090909090909092
24,FacesUCR,0.8648780487804878,0.8804878048780488,0.8609756097560975,0.868780487804878
25,FiftyWords,0.6175824175824176,0.6131868131868132,0.6395604395604395,0.6234432234432234
26,Fish,0.8971428571428571,0.8914285714285715,0.8685714285714285,0.8857142857142858
27,FordA,0.8712121212121212,0.8696969696969697,0.8651515151515151,0.8686868686868686
28,FordB,0.737037037037037,0.7271604938271605,0.7098765432098766,0.7246913580246913
29,GunPoint,0.98,0.98,0.98,0.98
30,Ham,0.7238095238095238,0.6,0.7047619047619048,0.6761904761904761
31,HandOutlines,0.8783783783783784,0.8675675675675676,0.8756756756756757,0.8738738738738738
32,Haptics,0.4123376623376623,0.3993506493506493,0.4188311688311688,0.41017316017316013
33,Herring,0.5625,0.59375,0.59375,0.5833333333333334
34,InlineSkate,0.2927272727272727,0.2672727272727273,0.3181818181818182,0.2927272727272727
35,InsectWingbeatSound,0.5646464646464646,0.5757575757575758,0.5712121212121212,0.5705387205387206
36,ItalyPowerDemand,0.95821185617104,0.9552964042759962,0.957240038872692,0.9569160997732427
37,LargeKitchenAppliances,0.7813333333333333,0.76,0.768,0.7697777777777777
38,Lightning2,0.6885245901639344,0.7540983606557377,0.6557377049180327,0.6994535519125682
39,Lightning7,0.7534246575342466,0.7808219178082192,0.7671232876712328,0.7671232876712328
40,Mallat,0.964179104477612,0.96545842217484,0.9680170575692963,0.9658848614072495
41,Meat,0.9333333333333332,0.95,0.9333333333333332,0.9388888888888888
42,MedicalImages,0.7526315789473684,0.7407894736842106,0.7539473684210526,0.7491228070175439
43,MiddlePhalanxOutlineAgeGroup,0.5584415584415584,0.564935064935065,0.538961038961039,0.5541125541125541
44,MiddlePhalanxOutlineCorrect,0.7422680412371134,0.7353951890034365,0.7319587628865979,0.736540664375716
45,MiddlePhalanxTW,0.5064935064935064,0.487012987012987,0.5194805194805194,0.5043290043290043
46,MoteStrain,0.9097444089456868,0.9113418530351438,0.9161341853035144,0.9124068157614483
47,NonInvasiveFetalECGThorax1,0.899236641221374,0.9012722646310432,0.9073791348600508,0.9026293469041561
48,NonInvasiveFetalECGThorax2,0.9282442748091604,0.9292620865139948,0.9272264631043255,0.9282442748091603
49,OSULeaf,0.8347107438016529,0.7892561983471075,0.7933884297520661,0.8057851239669421
50,OliveOil,0.8333333333333334,0.7666666666666667,0.8,0.8000000000000002
51,PhalangesOutlinesCorrect,0.7622377622377622,0.7762237762237763,0.7657342657342657,0.7680652680652681
52,Phoneme,0.020042194092827,0.020042194092827,0.020042194092827,0.020042194092827
53,Plane,1.0,1.0,1.0,1.0
54,ProximalPhalanxOutlineAgeGroup,0.8,0.8048780487804879,0.7853658536585366,0.7967479674796749
55,ProximalPhalanxOutlineCorrect,0.8419243986254296,0.8247422680412371,0.8556701030927835,0.8407789232531501
56,ProximalPhalanxTW,0.7268292682926829,0.7121951219512195,0.7317073170731707,0.7235772357723578
57,RefrigerationDevices,0.504,0.504,0.496,0.5013333333333333
58,ScreenType,0.4533333333333333,0.4133333333333333,0.4,0.4222222222222222
59,ShapeletSim,0.9833333333333332,0.9722222222222222,0.9944444444444444,0.9833333333333333
60,ShapesAll,0.8516666666666667,0.8416666666666667,0.8283333333333334,0.8405555555555555
61,SmallKitchenAppliances,0.7253333333333334,0.7333333333333333,0.7226666666666667,0.7271111111111112
62,SonyAIBORobotSurface1,0.9168053244592346,0.9284525790349416,0.9151414309484192,0.920133111480865
63,SonyAIBORobotSurface2,0.9118572927597062,0.8929695697796433,0.8982161594963274,0.901014340678559
64,StarLightCurves,0.9675813501699856,0.9656386595434676,0.9672170956775132,0.9668123684636555
65,Strawberry,0.9486486486486486,0.9405405405405406,0.9432432432432432,0.9441441441441442
66,SwedishLeaf,0.9296,0.9232,0.9424,0.9317333333333333
67,Symbols,0.9768844221105528,0.978894472361809,0.9809045226130654,0.9788944723618092
68,SyntheticControl,0.99,0.9866666666666668,0.9833333333333332,0.9866666666666667
69,ToeSegmentation1,0.8947368421052632,0.8596491228070176,0.8728070175438597,0.8757309941520468
70,ToeSegmentation2,0.8538461538461538,0.8615384615384616,0.8769230769230769,0.8641025641025641
71,Trace,1.0,1.0,1.0,1.0
72,TwoLeadECG,0.961369622475856,0.9701492537313432,0.9762949956101844,0.9692712906057945
73,TwoPatterns,0.999,0.99375,0.9955,0.9960833333333333
74,UWaveGestureLibraryAll,0.8981016192071468,0.9092685650474596,0.9056393076493578,0.9043364973013214
75,UWaveGestureLibraryX,0.7671691792294807,0.7794528196538246,0.7772194304857621,0.7746138097896892
76,UWaveGestureLibraryY,0.7110552763819096,0.7107761027359017,0.7110552763819096,0.710962218499907
77,UWaveGestureLibraryZ,0.7032384142936907,0.7035175879396985,0.7079843662758235,0.7049134561697376
78,Wafer,0.994646333549643,0.995295262816353,0.994970798182998,0.9949707981829979
79,Wine,0.6111111111111112,0.6296296296296297,0.7592592592592593,0.6666666666666666
80,WordSynonyms,0.4905956112852664,0.4733542319749216,0.4874608150470219,0.48380355276907
81,Worms,0.7402597402597403,0.7272727272727273,0.7532467532467533,0.7402597402597403
82,WormsTwoClass,0.7272727272727273,0.7012987012987013,0.7402597402597403,0.722943722943723
83,Yoga,0.824,0.8083333333333333,0.824,0.8187777777777777
